CustomerId,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country
1,Tracy,Odonnell,lauren67@yahoo.com,001-737-498-0521x12141,4800 Ferguson Way,New Lauren,Kansas,81797,United States Minor Outlying Islands
2,Karina,Proctor,jflores@gmail.com,+1-644-657-8243x76410,130 Brittany Trafficway,Hollyport,Wisconsin,57027,American Samoa
3,Ryan,Jefferson,franciscokerr@yahoo.com,(917)504-0664,66275 Bass Corner Suite 453,North Susanberg,Washington,66476,Congo
4,Ryan,Briggs,nmills@crosby.com,(140)221-1652x7685,3441 Robbins Park Apt. 306,Kaitlynshire,North Carolina,50512,Georgia
5,Kimberly,Bernard,nicholas22@sanchez.com,001-155-773-8184x440,70114 Marc Trail,Seanton,West Virginia,68847,Vanuatu
6,Troy,Moore,christopherdyer@hotmail.com,001-108-892-7707,99065 Michelle Roads Apt. 002,Margaretmouth,Hawaii,28121,Burkina Faso
7,Bryan,Pierce,patelstephanie@gmail.com,848-250-9891,625 Hanson Fork,Christopherfurt,Alabama,14909,Cambodia
8,Erin,Mcintosh,icarroll@jones.com,529-490-8625x063,6800 Steven Expressway,Meganmouth,Mississippi,71843,Tonga
9,Rachael,Hart,nelsonjason@gmail.com,(606)261-4361x3228,080 Tracy Points,Joshuafort,West Virginia,39508,Peru
10,Deborah,Simmons,castrojeanette@vaughn.com,+1-456-321-1421x2642,195 Kane Village,Robertside,Arkansas,26662,Macao
11,Robert,Powell,dlara@dickerson.com,+1-159-432-0766x69596,591 Kenneth Square Suite 030,Angelicaburgh,Ohio,92506,British Virgin Islands
12,David,Smith,lporter@yahoo.com,1666344433,662 Gregory Springs Suite 686,Juarezville,Maryland,08842,Sao Tome and Principe
13,Robert,Leach,wnichols@pace-yang.com,+1-386-142-6489x1041,864 Joseph Trail,Zoechester,Connecticut,38120,Bahrain
14,Mary,Harvey,flong@gmail.com,(659)167-8114x244,916 Jamie Hills,Phillipsfurt,New Hampshire,59049,Israel
15,Mark,Maynard,ruizcasey@trujillo-hernandez.info,001-852-713-5178x77447,26180 Ricky Springs,Davidfurt,Colorado,11440,Nicaragua
16,Kim,Scott,dgreen@hayes.org,(823)315-6802x603,06927 Young Greens,Heatherberg,Arizona,24185,Trinidad and Tobago
